time	V(in)	V(out)
2.443757077833267e-003	0.000000000000000e+000	-9.577781909138144e-001
2.443857077833267e-003	0.000000000000000e+000	-9.577736509588445e-001
2.443957077833267e-003	0.000000000000000e+000	-9.577691110247241e-001
2.444057077833267e-003	0.000000000000000e+000	-9.577645711114343e-001
2.444157077833267e-003	0.000000000000000e+000	-9.577600312189772e-001
2.444257077833267e-003	0.000000000000000e+000	-9.577554913473463e-001
2.444357077833267e-003	0.000000000000000e+000	-9.577509514965503e-001
2.444457077833267e-003	0.000000000000000e+000	-9.577464116665884e-001
2.444557077833267e-003	0.000000000000000e+000	-9.577418718574733e-001
2.444657077833267e-003	0.000000000000000e+000	-9.577373320691978e-001
2.444757077833267e-003	0.000000000000000e+000	-9.577327923017687e-001
2.444857077833267e-003	0.000000000000000e+000	-9.577282525551739e-001
2.444957077833267e-003	0.000000000000000e+000	-9.577237128294159e-001
2.445057077833267e-003	0.000000000000000e+000	-9.577191731244868e-001
2.445157077833267e-003	0.000000000000000e+000	-9.577146334403963e-001
2.445257077833267e-003	0.000000000000000e+000	-9.577100937771382e-001
2.445357077833267e-003	0.000000000000000e+000	-9.577055541347213e-001
2.445457077833267e-003	0.000000000000000e+000	-9.577010145131408e-001
2.445557077833267e-003	0.000000000000000e+000	-9.576964749124066e-001
2.445657077833267e-003	0.000000000000000e+000	-9.576919353325059e-001
2.445757077833267e-003	0.000000000000000e+000	-9.576873957734366e-001
2.445857077833267e-003	0.000000000000000e+000	-9.576828562351886e-001
2.445957077833267e-003	0.000000000000000e+000	-9.576783167177804e-001
2.446057077833267e-003	0.000000000000000e+000	-9.576737772212107e-001
2.446157077833267e-003	0.000000000000000e+000	-9.576692377454772e-001
2.446257077833267e-003	0.000000000000000e+000	-9.576646982905732e-001
2.446357077833267e-003	0.000000000000000e+000	-9.576601588565159e-001
2.446457077833267e-003	0.000000000000000e+000	-9.576556194432941e-001
2.446557077833267e-003	0.000000000000000e+000	-9.576510800509065e-001
2.446657077833267e-003	0.000000000000000e+000	-9.576465406793453e-001
2.446757077833267e-003	0.000000000000000e+000	-9.576420013286230e-001
2.446857077833267e-003	0.000000000000000e+000	-9.576374619987355e-001
2.446957077833267e-003	0.000000000000000e+000	-9.576329226896857e-001
2.447057077833267e-003	0.000000000000000e+000	-9.576283834014634e-001
2.447157077833267e-003	0.000000000000000e+000	-9.576238441340804e-001
2.447257077833267e-003	0.000000000000000e+000	-9.576193048875321e-001
2.447357077833267e-003	0.000000000000000e+000	-9.576147656618224e-001
2.447457077833267e-003	0.000000000000000e+000	-9.576102264569386e-001
2.447557077833267e-003	0.000000000000000e+000	-9.576056872728856e-001
2.447657077833267e-003	0.000000000000000e+000	-9.576011481096604e-001
2.447757077833267e-003	0.000000000000000e+000	-9.575966089672812e-001
2.447857077833267e-003	0.000000000000000e+000	-9.575920698457386e-001
2.447957077833267e-003	0.000000000000000e+000	-9.575875307450258e-001
2.448057077833267e-003	0.000000000000000e+000	-9.575829916651336e-001
2.448157077833268e-003	0.000000000000000e+000	-9.575784526060793e-001
2.448257077833267e-003	0.000000000000000e+000	-9.575739135678599e-001
2.448357077833267e-003	0.000000000000000e+000	-9.575693745504802e-001
2.448457077833267e-003	0.000000000000000e+000	-9.575648355539342e-001
2.448557077833267e-003	0.000000000000000e+000	-9.575602965782303e-001
2.448657077833267e-003	0.000000000000000e+000	-9.575557576233534e-001
2.448757077833267e-003	0.000000000000000e+000	-9.575512186893082e-001
2.448857077833267e-003	0.000000000000000e+000	-9.575466797760932e-001
2.448957077833267e-003	0.000000000000000e+000	-9.575421408837141e-001
2.449057077833267e-003	0.000000000000000e+000	-9.575376020121591e-001
2.449157077833267e-003	0.000000000000000e+000	-9.575330631614357e-001
2.449257077833267e-003	0.000000000000000e+000	-9.575285243315398e-001
2.449357077833267e-003	0.000000000000000e+000	-9.575239855224849e-001
2.449457077833267e-003	0.000000000000000e+000	-9.575194467342620e-001
2.449557077833267e-003	0.000000000000000e+000	-9.575149079668714e-001
2.449657077833267e-003	0.000000000000000e+000	-9.575103692203066e-001
2.449757077833267e-003	0.000000000000000e+000	-9.575058304945798e-001
2.449857077833267e-003	0.000000000000000e+000	-9.575012917896875e-001
2.449957077833267e-003	0.000000000000000e+000	-9.574967531056353e-001
2.450057077833268e-003	0.000000000000000e+000	-9.574922144424087e-001
2.450157077833267e-003	0.000000000000000e+000	-9.574876758000132e-001
2.450257077833267e-003	0.000000000000000e+000	-9.574831371784456e-001
2.450357077833267e-003	0.000000000000000e+000	-9.574785985777145e-001
2.450457077833267e-003	0.000000000000000e+000	-9.574740599978099e-001
2.450557077833267e-003	0.000000000000000e+000	-9.574695214387362e-001
2.450657077833267e-003	0.000000000000000e+000	-9.574649829004874e-001
2.450757077833267e-003	0.000000000000000e+000	-9.574604443830767e-001
2.450857077833268e-003	0.000000000000000e+000	-9.574559058864999e-001
2.450957077833267e-003	0.000000000000000e+000	-9.574513674107588e-001
2.451057077833267e-003	0.000000000000000e+000	-9.574468289558383e-001
2.451157077833267e-003	0.000000000000000e+000	-9.574422905217467e-001
2.451257077833267e-003	0.000000000000000e+000	-9.574377521084807e-001
2.451357077833267e-003	0.000000000000000e+000	-9.574332137160458e-001
2.451457077833267e-003	0.000000000000000e+000	-9.574286753444352e-001
2.451557077833267e-003	0.000000000000000e+000	-9.574241369936630e-001
2.451657077833267e-003	0.000000000000000e+000	-9.574195986637202e-001
2.451757077833267e-003	0.000000000000000e+000	-9.574150603546052e-001
2.451857077833267e-003	0.000000000000000e+000	-9.574105220663171e-001
2.451957077833267e-003	0.000000000000000e+000	-9.574059837988679e-001
2.452057077833267e-003	0.000000000000000e+000	-9.574014455522458e-001
2.452157077833267e-003	0.000000000000000e+000	-9.573969073264568e-001
2.452257077833267e-003	0.000000000000000e+000	-9.573923691214930e-001
2.452357077833267e-003	0.000000000000000e+000	-9.573878309373571e-001
2.452457077833267e-003	0.000000000000000e+000	-9.573832927740481e-001
2.452557077833267e-003	0.000000000000000e+000	-9.573787546315825e-001
2.452657077833267e-003	0.000000000000000e+000	-9.573742165099446e-001
2.452757077833268e-003	0.000000000000000e+000	-9.573696784091292e-001
2.452857077833267e-003	0.000000000000000e+000	-9.573651403291339e-001
2.452957077833267e-003	0.000000000000000e+000	-9.573606022699760e-001
2.453057077833267e-003	0.000000000000000e+000	-9.573560642316487e-001
2.453157077833267e-003	0.000000000000000e+000	-9.573515262141528e-001
2.453257077833267e-003	0.000000000000000e+000	-9.573469882174799e-001
2.453357077833267e-003	0.000000000000000e+000	-9.573424502416374e-001
2.453457077833267e-003	0.000000000000000e+000	-9.573379122866176e-001
2.453557077833267e-003	0.000000000000000e+000	-9.573333743524281e-001
2.453657077833267e-003	0.000000000000000e+000	-9.573288364390624e-001
2.453757077833267e-003	0.000000000000000e+000	-9.573242985465255e-001
2.453857077833267e-003	0.000000000000000e+000	-9.573197606748150e-001
2.453957077833267e-003	0.000000000000000e+000	-9.573152228239445e-001
2.454057077833267e-003	0.000000000000000e+000	-9.573106849939010e-001
2.454157077833267e-003	0.000000000000000e+000	-9.573061471846883e-001
2.454257077833267e-003	0.000000000000000e+000	-9.573016093963045e-001
2.454357077833267e-003	0.000000000000000e+000	-9.572970716287498e-001
2.454457077833267e-003	0.000000000000000e+000	-9.572925338820102e-001
2.454557077833267e-003	0.000000000000000e+000	-9.572879961560986e-001
2.454657077833268e-003	0.000000000000000e+000	-9.572834584510117e-001
2.454757077833267e-003	0.000000000000000e+000	-9.572789207667520e-001
2.454857077833267e-003	0.000000000000000e+000	-9.572743831033129e-001
